name,token_env_var,link
api-grafana,TOKEN_API_GRAFANA,https://raw.githubusercontent.com/grafana/grafana/refs/heads/main/public/openapi3.json
api-gitlab,TOKEN_API_GITLAB,https://gitlab.com/gitlab-org/gitlab/-/raw/master/doc/api/openapi/openapi_v3.yaml?ref_type=heads
api-stripe,TOKEN_API_STRIPE,https://raw.githubusercontent.com/stripe/openapi/refs/heads/master/latest/openapi.spec3.json
api-spotify,TOKEN_API_SPOTIFY,https://developer.spotify.com/reference/web-api/open-api-schema.yaml
api-keycloak,TOKEN_API_KEYCLOAK,https://www.keycloak.org/docs-api/latest/rest-api/openapi.json
api-asana,TOKEN_API_ASANA,https://raw.githubusercontent.com/Asana/openapi/master/defs/asana_oas.yaml
api-discord,TOKEN_API_DISCORD,https://raw.githubusercontent.com/discord/discord-api-spec/main/specs/openapi.json
api-figma,TOKEN_API_FIGMA,https://raw.githubusercontent.com/figma/rest-api-spec/main/openapi/openapi.yaml
api-github,TOKEN_API_GITHUB,https://raw.githubusercontent.com/github/rest-api-description/main/descriptions/api.github.com/api.github.com.json
api-twilio,TOKEN_API_TWILIO,https://raw.githubusercontent.com/twilio/twilio-oai/main/spec/json/twilio_api_v2010.json
api-twitter,TOKEN_API_TWITTER,https://api.twitter.com/2/openapi.json
api-hubspot,TOKEN_API_HUBSPOT,https://raw.githubusercontent.com/HubSpot/HubSpot-public-api-spec-collection/main/PublicApiSpecs/CRM/Objects/Rollouts/424/2026-09/objects.json
api-adyen,TOKEN_API_ADYEN,https://raw.githubusercontent.com/Adyen/adyen-openapi/main/yaml/CheckoutService-v72.yaml
api-bigcommerce,TOKEN_API_BIGCOMMERCE,https://developer.bigcommerce.com/openapi/admin-catalog-products.json
api-bitbucket,TOKEN_API_BITBUCKET,https://developer.atlassian.com/cloud/bitbucket/swagger.v3.json
api-box,TOKEN_API_BOX,https://raw.githubusercontent.com/box/box-openapi/main/openapi.json
api-circleci,TOKEN_API_CIRCLECI,https://circleci.com/api/v2/openapi.json
api-confluence,TOKEN_API_CONFLUENCE,https://developer.atlassian.com/cloud/confluence/swagger.v3.json
api-digitalocean,TOKEN_API_DIGITALOCEAN,https://raw.githubusercontent.com/digitalocean/openapi/main/specification/DigitalOcean-public.v2.yaml
api-hashicorp-vault,TOKEN_API_HASHICORP_VAULT,https://raw.githubusercontent.com/hashicorp/vault-client-go/main/openapi.json
api-intercom,TOKEN_API_INTERCOM,https://raw.githubusercontent.com/intercom/Intercom-OpenAPI/main/descriptions/2.15/api.intercom.io.yaml
api-kubernetes,TOKEN_API_KUBERNETES,https://raw.githubusercontent.com/kubernetes/kubernetes/master/api/openapi-spec/v3/api__v1_openapi.json
api-linode,TOKEN_API_LINODE,https://raw.githubusercontent.com/linode/linode-api-docs/refs/heads/development/openapi.json
api-mailgun,TOKEN_API_MAILGUN,https://documentation.mailgun.com/_spec/docs/mailgun/api-reference/send/mailgun.yaml?download
api-microsoft-teams,TOKEN_API_MICROSOFT_TEAMS,https://raw.githubusercontent.com/microsoftgraph/msgraph-metadata/master/openapi/v1.0/openapi.yaml
api-miro,TOKEN_API_MIRO,https://raw.githubusercontent.com/miroapp/api-clients/main/packages/generator/spec.json
api-mixpanel,TOKEN_API_MIXPANEL,https://docs.mixpanel.com/openapi/query.openapi.yaml
api-netlify,TOKEN_API_NETLIFY,https://open-api.netlify.com/openapi.json
api-new-relic,TOKEN_API_NEW_RELIC,https://api.newrelic.com/docs/swagger.yml
api-notion,TOKEN_API_NOTION,https://developers.notion.com/openapi.json
api-opsgenie,TOKEN_API_OPSGENIE,https://raw.githubusercontent.com/opsgenie/opsgenie-python-sdk/master/opsgenie-oas.yml
api-paypal,TOKEN_API_PAYPAL,https://raw.githubusercontent.com/paypal/paypal-rest-api-specifications/main/openapi/checkout_orders_v2.json
api-plaid,TOKEN_API_PLAID,https://raw.githubusercontent.com/plaid/plaid-openapi/master/2020-09-14.yml
api-sendgrid,TOKEN_API_SENDGRID,https://raw.githubusercontent.com/twilio/sendgrid-oai/main/spec/json/tsg_mail_v3.json
api-sentry,TOKEN_API_SENTRY,https://raw.githubusercontent.com/getsentry/sentry/master/api-docs/openapi.json
api-square,TOKEN_API_SQUARE,https://raw.githubusercontent.com/square/connect-api-specification/master/api.json
api-trello,TOKEN_API_TRELLO,https://developer.atlassian.com/cloud/trello/swagger.v3.json
api-vercel,TOKEN_API_VERCEL,https://openapi.vercel.sh/
